Reference,Country,System,Habitat,Landscape,Daily emergence flux (mg DM m-2 d-1),Annual emergence flux (g DM m-2 yr-1),Taxa,Intermittent,Trap method,Year of sample collection,Month of sample collection,Notes
Bonjour et al. 2020,US,"Kings Creek, Kansas",Lotic,Grassland,8.940,3.263,Community,Y,floating emergence trap,2016,June-July,"*authors report AFDM but Methods states using Sabo et al. 2002 & Grunner 2003 length-mass regressions which is for DM , Study Area is Konza Prairie Biological Station"
Bottger 19751,Zaire,Kalengo Stream,Lotic,Montane,10.836,3.955,Community,N,floating emergence trap,1975,,From Jackson and Fisher 1986 Table 5. Original paper not in english or avalable online.
Francis et al. 2006,US,"Pick Creek, Alaska",Lotic,Montane,4.800,1.752,EPT,N,floating emergence trap,2004,June-September,sockeye salmon spawning tributary 
Gray 1989,US,"Kings Creek, Kansas",Lotic,Grassland,20.300,7.410,Community,Y,floating emergence trap,1986-1987,June-August,
Gumbel 19761,Germany,Kalkbach Stream,Lotic,,5.605,2.046,Community,,,1976,,From Jackson and Fisher 1986 Table 5. Original paper not in english or avalable online.
Gumbel 19761,Germany,Kalkbach Stream,Lotic,,7.112,2.596,Community,,,1976,,From Jackson and Fisher 1986 Table 5. Original paper not in english or avalable online.
Gumbel 19761,Germany,Breitenback Stream,Lotic,,7.203,2.629,Community,,,1976,,From Jackson and Fisher 1986 Table 5. Original paper not in english or avalable online.
Gumbel 19761,Germany,Breitenback Stream,Lotic,,10.197,3.722,Community,,,1976,,From Jackson and Fisher 1986 Table 5. Original paper not in english or avalable online.
Harper 1978,Canada,"I'Achigan River, Quebec",Lotic,Forest,14.493,5.290,Community,N,floating emergence trap,1972,May-November,2nd order stream
Harper 1978,Canada,"I'Achigan River, Quebec",Lotic,Forest,19.397,7.080,Community,N,floating emergence trap,1973,May-November,2nd order stream
Hagen and Sabo 2014,US,"Sycamore Creek, Arizona",Lotic,Desert,172.877,63.100,Community,Y,floating emergence trap,2008-2009,February-January,Results in Table 1
Hagen and Sabo 2014,US,"San Pedro River, Arizona",Lotic,Desert,24.658,9.000,Community,Y,floating emergence trap,2008-2009,February-January,Results in Table 1
Heinrich et al. 2014,US,"Upper Cache River, Illinois",Lotic,Mixed,45.970,16.779,Community,N,floating emergence trap,2009-2010,March-March,Trap located near weir - disrupt natural hydrology
Heinrich et al. 2014,US,"Upper Cache River, Illinois",Lotic,Mixed,42.510,15.516,Community,N,floating emergence trap,2009-2010,March-March,Trap located midway between weirs (control)
"Illies 1978, 19801",Germany,Breitenback Stream,Lotic,,7.233,2.640,EPT,,,1978,,From Jackson and Fisher 1986 Table 5. Original paper not in english or avalable online.
"Illies 1971, 19751",Germany,Breitenback Stream,Lotic,,10.247,3.740,Community,,,1975,,From Jackson and Fisher 1986 Table 5. Original paper not in english or avalable online.
Illies 19801,Austria,Schreierbach Stream,Lotic,,9.945,3.630,EPT,,,1980,,From Jackson and Fisher 1986 Table 5. Original paper not in english or avalable online.
Illies 19801,Austria,Teichbach Stream,Lotic,,13.808,5.040,EPT,,,1980,,From Jackson and Fisher 1986 Table 5. Original paper not in english or avalable online.
Jackson and Fisher 1986,US,"Sycamore Creek, Arizona",Lotic,Desert,63.288,23.100,Community,Y,floating emergence trap,1982-1983,September-September,mean annual emegence production across years
Malison et al. 2010,US,"Darby, Teton River Basin, Idaho",Lotic,Forest,13.980,5.103,Community,N,floating emergence trap,2006,June-August,mean emergence estimate from two trap locations (mid-channel and streambank)
Malison et al. 2010,US,"Fox, Teton River Basin, Idaho",Lotic,Forest,5.995,2.188,Community,N,floating emergence trap,2006,June-August,mean emergence estimate from two trap locations (mid-channel and streambank)
Malison et al. 2010,US,"North Fork Mahogany, Teton River Basin, Idaho",Lotic,Forest,8.675,3.166,Community,N,floating emergence trap,2006,June-August,mean emergence estimate from two trap locations (mid-channel and streambank)
Malison et al. 2010,US,"South Leigh, Teton River Basin, Idaho",Lotic,Forest,19.030,6.946,Community,N,floating emergence trap,2006,June-August,mean emergence estimate from two trap locations (mid-channel and streambank)
Malison et al. 2010,US,"South Fork Mahogany, Teton River Basin, Idaho",Lotic,Forest,11.140,4.066,Community,N,floating emergence trap,2006,June-August,mean emergence estimate from two trap locations (mid-channel and streambank)
